文件,函数名,函数签名,起始行,总行数,已执行行数,行覆盖率(%)
lighttpd1-gcov/src/mod_auth.c,mod_auth_digest_misconfigured,"mod_auth_digest_misconfigured (request_st * const r, const struct http_auth_backend_t * const backend)",1135,51,0,0.00
lighttpd1-gcov/src/mod_auth.c,mod_auth_digest_parse_authorization,"mod_auth_digest_parse_authorization (http_auth_digest_params_t * const dp, const char *c)",1210,51,0,0.00
lighttpd1-gcov/src/mod_auth.c,mod_auth_digest_validate_userstar,"mod_auth_digest_validate_userstar (request_st * const r, http_auth_digest_params_t * const dp, http_auth_info_t * const ai)",1227,51,0,0.00
lighttpd1-gcov/src/mod_auth.c,mod_auth_digest_validate_params,"mod_auth_digest_validate_params (request_st * const r, const struct http_auth_require_t * const require, http_auth_digest_params_t * const dp, http_auth_info_t * const ai)",1297,51,0,0.00
lighttpd1-gcov/src/mod_auth.c,mod_auth_digest_validate_nonce,"mod_auth_digest_validate_nonce (request_st * const r, const struct http_auth_require_t * const require, http_auth_digest_params_t * const dp, http_auth_info_t * const ai)",1362,51,0,0.00
lighttpd1-gcov/src/mod_auth.c,mod_auth_check_digest,"mod_auth_check_digest (request_st * const r, void *p_d, const struct http_auth_require_t * const require, const struct http_auth_backend_t * const backend)",1446,51,0,0.00
lighttpd1-gcov/src/connections.c,connection_handle_request_start_state,"connection_handle_request_start_state (request_st * const r, connection * const con)",1,51,4,7.84
lighttpd1-gcov/src/connections.c,connection_write_throttled,"connection_write_throttled (const connection * const con, off_t max_bytes)",172,51,14,27.45
lighttpd1-gcov/src/connections.c,connection_write_throttle,"connection_write_throttle (connection * const con, off_t max_bytes)",231,51,13,25.49
lighttpd1-gcov/src/connections.c,connection_write_chunkqueue,"connection_write_chunkqueue (connection * const con, chunkqueue * const restrict cq, off_t max_bytes)",256,51,13,25.49
lighttpd1-gcov/src/connections.c,connection_transition_h2,"connection_transition_h2 (request_st * const h2r, connection * const con)",266,51,13,25.49
lighttpd1-gcov/src/connections.c,__attribute_nonnull__,__attribute_nonnull__(),464,51,12,23.53
lighttpd1-gcov/src/connections.c,connection_log_state,"connection_log_state (const request_st * const r, const char * const tag)",650,51,15,29.41
lighttpd1-gcov/src/connections.c,connection_state_machine_loop,"connection_state_machine_loop (request_st * const r, connection * const con)",652,51,15,29.41
lighttpd1-gcov/src/connections.c,connection_revents_err,"connection_revents_err (request_st * const r, connection * const con)",663,51,16,31.37
lighttpd1-gcov/src/connections.c,connection_set_fdevent_interest,"connection_set_fdevent_interest (request_st * const r, connection * const con)",744,51,0,0.00
lighttpd1-gcov/src/connections.c,connection_state_machine,connection_state_machine (connection * const con),799,51,18,35.29
lighttpd1-gcov/src/connections.c,connection_check_timeout,"connection_check_timeout (connection * const con, const unix_time64_t cur_ts)",862,51,17,33.33
lighttpd1-gcov/src/connections.c,connection_periodic_maint,"connection_periodic_maint (server * const srv, const unix_time64_t cur_ts)",874,51,10,19.61
lighttpd1-gcov/src/connections.c,connection_graceful_shutdown_maint,connection_graceful_shutdown_maint (server * const srv),906,51,4,7.84
lighttpd1-gcov/src/network.c,network_accept_tcp_nagle_disable,network_accept_tcp_nagle_disable (const int fd),1,51,9,17.65
lighttpd1-gcov/src/network.c,network_abstract_socket_enc,"network_abstract_socket_enc (buffer * const restrict abstract,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>137</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                             unsigned char * const restrict sun_path,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>138</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                             const uint32_t len)",34,51,22,43.14
lighttpd1-gcov/src/network.c,network_abstract_socket_dec,"network_abstract_socket_dec (const buffer * const restrict abstract,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>164</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                             char * const restrict sun_path,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>165</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                             const uint32_t plen)",139,51,0,0.00
lighttpd1-gcov/src/network.c,network_abstract_socket_parse,"network_abstract_socket_parse (const buffer *abstract,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>190</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                               sock_addr *addr, socklen_t *addr_len,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>191</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                               log_error_st *errh)",166,51,1,1.96
lighttpd1-gcov/src/mod_extforward.c,CONNECTION_FUNC,CONNECTION_FUNC(mod_extforward_handle_con_close),1,51,0,0.00
lighttpd1-gcov/src/mod_extforward.c,CONNECTION_FUNC,CONNECTION_FUNC(mod_extforward_handle_con_accept),1148,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,lshpack_arr_push,"lshpack_arr_push (struct lshpack_arr *arr, uintptr_t val)",1,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,henc_hist_size,henc_hist_size (unsigned max_capacity),209,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,lshpack_enc_init,lshpack_enc_init (struct lshpack_enc *enc),286,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,lshpack_enc_cleanup,lshpack_enc_cleanup (struct lshpack_enc *enc),293,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,henc_use_hist,henc_use_hist (struct lshpack_enc *enc),327,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,lshpack_enc_use_hist,"lshpack_enc_use_hist (struct lshpack_enc *enc, int on)",341,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,lshpack_enc_hist_used,lshpack_enc_hist_used (const struct lshpack_enc *enc),363,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,lshpack_enc_get_static_nameval,lshpack_enc_get_static_nameval (const struct lsxpack_header *input),381,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,lshpack_enc_get_static_name,lshpack_enc_get_static_name (const struct lsxpack_header *input),430,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,update_hash,update_hash (struct lsxpack_header *input),456,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,lshpack_enc_get_stx_tab_id,lshpack_enc_get_stx_tab_id (struct lsxpack_header *input),478,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,henc_calc_table_id,"henc_calc_table_id (const struct lshpack_enc *enc,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>538</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                                    const struct lshpack_enc_table_entry *entry)",499,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,henc_find_table_id,"henc_find_table_id (struct lshpack_enc *enc, lsxpack_header_t *input,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>548</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                    int *val_matched)",539,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,lshpack_enc_enc_int,"lshpack_enc_enc_int (unsigned char *dst, unsigned char *const end,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>654</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                                        uint32_t value, uint8_t prefix_bits)",549,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,lshpack_enc_huff_encode,"lshpack_enc_huff_encode (const unsigned char *src,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>700</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>    const unsigned char *const src_end, unsigned char *const dst, int dst_len)",655,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,lshpack_enc_enc_str,"lshpack_enc_enc_str (unsigned char *const dst, size_t dst_len,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>835</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                        const unsigned char *str, unsigned str_len)",701,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,henc_drop_oldest_entry,henc_drop_oldest_entry (struct lshpack_enc *enc),836,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,henc_remove_overflow_entries,henc_remove_overflow_entries (struct lshpack_enc *enc),909,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,henc_grow_tables,henc_grow_tables (struct lshpack_enc *enc),932,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,lshpack_enc_push_entry,"lshpack_enc_push_entry (struct lshpack_enc *enc,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>990</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                        const struct lsxpack_header *input)",940,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,henc_resize_history,henc_resize_history (struct lshpack_enc *enc),991,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,henc_hist_add,"henc_hist_add (struct lshpack_enc *enc, uint32_t nameval_hash)",1043,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,lshpack_enc_encode,"lshpack_enc_encode (struct lshpack_enc *enc, unsigned char *dst,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>1111</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>        unsigned char *dst_end, lsxpack_header_t *input)",1089,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,lshpack_enc_set_max_capacity,"lshpack_enc_set_max_capacity (struct lshpack_enc *enc, unsigned max_capacity)",1112,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,lshpack_enc_iter_init,"lshpack_enc_iter_init (struct lshpack_enc *enc, void **iter)",1203,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,lshpack_enc_iter_next,"lshpack_enc_iter_next (struct lshpack_enc *enc, void **iter,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>1221</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                                        struct enc_dyn_table_entry *retval)",1213,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,lshpack_dec_init,lshpack_dec_init (struct lshpack_dec *dec),1222,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,lshpack_dec_cleanup,lshpack_dec_cleanup (struct lshpack_dec *dec),1277,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,lshpack_dec_dec_int,"lshpack_dec_dec_int (const unsigned char **src_p, const unsigned char *src_end,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>1309</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                                        unsigned prefix_bits, uint32_t *value_p)",1287,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,hdec_drop_oldest_entry,hdec_drop_oldest_entry (struct lshpack_dec *dec),1310,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,hdec_remove_overflow_entries,hdec_remove_overflow_entries (struct lshpack_dec *dec),1358,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,hdec_update_max_capacity,"hdec_update_max_capacity (struct lshpack_dec *dec, uint32_t new_capacity)",1370,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,lshpack_dec_set_max_capacity,"lshpack_dec_set_max_capacity (struct lshpack_dec *dec, unsigned max_capacity)",1378,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,hdec_huff_dec4bits,"hdec_huff_dec4bits (uint8_t src_4bits, unsigned char *dst,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>1394</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                                        struct decode_status *status)",1386,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,lshpack_dec_huff_decode_full,"lshpack_dec_huff_decode_full (const unsigned char *src, int src_len,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>1419</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                                            unsigned char *dst, int dst_len)",1395,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,hdec_dec_str,"hdec_dec_str (unsigned char *dst, size_t dst_len, const unsigned char **src,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>1460</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>        const unsigned char *src_end)",1420,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,hdec_get_table_entry,"hdec_get_table_entry (struct lshpack_dec *dec, uint32_t index)",1461,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,lshpack_dec_push_entry,"lshpack_dec_push_entry (struct lshpack_dec *dec,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>1526</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                                        const struct lsxpack_header *xhdr)",1508,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,lshpack_dec_copy_value,"lshpack_dec_copy_value (lsxpack_header_t *output, char *dest, const char *val,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>1565</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                       unsigned val_len)",1527,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,lshpack_dec_copy_name,"lshpack_dec_copy_name (lsxpack_header_t *output, char **dest, const char *name,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>1586</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                       unsigned name_len)",1566,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,lshpack_dec_decode,"lshpack_dec_decode (struct lshpack_dec *dec,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>1613</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>    const unsigned char **src, const unsigned char *src_end,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>1614</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>    struct lsxpack_header *output)",1587,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lshpack.c,lshpack_dec_huff_decode,"lshpack_dec_huff_decode (const unsigned char *src, int src_len,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>1869</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                                            unsigned char *dst, int dst_len)",1615,51,0,0.00
lighttpd1-gcov/src/mod_expire.c,mod_expire_set_header,"mod_expire_set_header (request_st * const r, const time_t * const off)",1,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lsxpack_header.h,lsxpack_header_set_idx,"lsxpack_header_set_idx(lsxpack_header_t *hdr, int hpack_idx,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>70</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                       const char *val, size_t val_len)",1,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lsxpack_header.h,lsxpack_header_set_qpack_idx,"lsxpack_header_set_qpack_idx(lsxpack_header_t *hdr, int qpack_idx,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>83</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                       const char *val, size_t val_len)",71,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lsxpack_header.h,lsxpack_header_set_offset,"lsxpack_header_set_offset(lsxpack_header_t *hdr, const char *buf,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>97</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                          size_t name_offset, size_t name_len,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>98</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                          size_t val_len)",84,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lsxpack_header.h,lsxpack_header_set_offset2,"lsxpack_header_set_offset2(lsxpack_header_t *hdr, const char *buf,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>114</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                           size_t name_offset, size_t name_len,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>115</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                           size_t val_offset, size_t val_len)",99,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lsxpack_header.h,lsxpack_header_prepare_decode,"lsxpack_header_prepare_decode(lsxpack_header_t *hdr,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>131</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                              char *out, size_t offset, size_t len)",116,51,0,0.00
lighttpd1-gcov/src/ls-hpack/lsxpack_header.h,lsxpack_header_get_name,lsxpack_header_get_name(const lsxpack_header_t *hdr),132,38,0,0.00
lighttpd1-gcov/src/ls-hpack/lsxpack_header.h,lsxpack_header_get_value,lsxpack_header_get_value(const lsxpack_header_t *hdr),146,24,0,0.00
lighttpd1-gcov/src/ls-hpack/lsxpack_header.h,lsxpack_header_get_dec_size,lsxpack_header_get_dec_size(const lsxpack_header_t *hdr),153,17,0,0.00
lighttpd1-gcov/src/ls-hpack/lsxpack_header.h,lsxpack_header_mark_val_changed,lsxpack_header_mark_val_changed(lsxpack_header_t *hdr),157,13,0,0.00
lighttpd1-gcov/src/log.c,log_buffer_tstr,log_buffer_tstr (const unix_time64_t t),1,51,0,0.00
lighttpd1-gcov/src/log.c,__attribute_nonnull__,__attribute_nonnull__(),124,51,14,27.45
lighttpd1-gcov/src/log.c,log_buffer_timestamp,log_buffer_timestamp (buffer * const restrict b),139,51,15,29.41
lighttpd1-gcov/src/log.c,__attribute_nonnull__,__attribute_nonnull__(),141,51,14,27.45
lighttpd1-gcov/src/log.c,log_buffer_prefix,"log_buffer_prefix (buffer * const restrict b,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>174</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                   const char * const restrict filename,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>175</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                   const unsigned int line)",172,51,15,29.41
lighttpd1-gcov/src/log.c,log_buffer_append_encoded,"log_buffer_append_encoded (buffer * const b,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>191</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                           const char * const s, const size_t n)",176,51,17,33.33
lighttpd1-gcov/src/log.c,__attribute_nonnull__,__attribute_nonnull__(),192,51,15,29.41
lighttpd1-gcov/src/log.c,log_buffer_vsprintf,"log_buffer_vsprintf (buffer * const restrict b,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>206</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                     const char * const restrict fmt, va_list ap)",204,51,20,39.22
lighttpd1-gcov/src/log.c,__attribute_nonnull__,__attribute_nonnull__(),207,51,21,41.18
